Energy (eV),DOS_up
-32.212950750000005,0.0
-32.163450749999996,0.0
-32.114050750000004,0.0
-32.064550749999995,0.0
-32.01505075,0.0
-31.965550750000002,0.0
-31.91615075,0.0
-31.86665075,0.0
-31.81715075,0.0
-31.76775075,0.0
-31.71825075,0.0
-31.66875075,0.0
-31.61925075,0.0
-31.56985075,0.0
-31.52035075,0.0
-31.47085075,0.0
-31.42145075,0.0
-31.37195075,0.0
-31.32245075,0.0
-31.27295075,0.0
-31.22355075,0.0
-31.17405075,0.0
-31.12455075,0.0
-31.07505075,0.0
-31.02565075,0.0
-30.976150750000002,0.0
-30.92665075,0.0
-30.87725075,0.0
-30.82775075,0.0
-30.77825075,0.0
-30.72875075,0.0
-30.67935075,0.0
-30.62985075,0.0
-30.58035075,0.0
-30.53095075,0.0
-30.48145075,0.0
-30.431950750000002,0.0
-30.38245075,0.0
-30.33305075,0.0
-30.28355075,0.0
-30.23405075,0.0
-30.18465075,0.0
-30.13515075,0.0
-30.08565075,0.0
-30.03615075,0.0
-29.98675075,0.0
-29.93725075,0.0
-29.887750750000002,0.0
-29.83825075,0.0
-29.78885075,0.0
-29.73935075,0.0
-29.68985075,0.0
-29.64045075,0.0
-29.59095075,0.0
-29.54145075,0.0
-29.49195075,0.0
-29.44255075,0.0
-29.39305075,0.0
-29.343550750000002,0.0
-29.29415075,0.0
-29.24465075,0.0
-29.19515075,0.0
-29.14565075,0.0
-29.09625075,0.0
-29.04675075,0.0
-28.99725075,0.0
-28.94785075,0.0
-28.89835075,0.0
-28.84885075,0.0
-28.799350750000002,0.0
-28.74995075,0.0
-28.70045075,0.0
-28.65095075,0.0
-28.60155075,0.0
-28.55205075,0.0
-28.50255075,0.0
-28.45305075,0.0
-28.40365075,0.0
-28.35415075,0.0
-28.30465075,0.0
-28.255150750000002,0.0
-28.20575075,0.0
-28.15625075,0.0
-28.10675075,0.0
-28.05735075,0.0
-28.00785075,0.0
-27.95835075,0.0
-27.90885075,0.0
-27.85945075,0.0
-27.80995075,0.0
-27.76045075,0.0
-27.711050750000002,0.0
-27.66155075,0.0
-27.61205075,0.0
-27.56255075,0.0
-27.51315075,0.0
-27.46365075,0.0
-27.41415075,0.0
-27.36475075,0.0
-27.31525075,0.0
-27.26575075,0.0
-27.21625075,0.0
-27.166850750000002,0.0
-27.11735075,0.0
-27.06785075,0.0
-27.01835075,0.0
-26.96895075,0.0
-26.91945075,0.0
-26.86995075,0.0
-26.82055075,0.0
-26.77105075,0.0
-26.72155075,0.0
-26.67205075,0.0
-26.622650750000002,0.0
-26.57315075,0.0
-26.52365075,0.0
-26.47425075,0.0
-26.42475075,0.0
-26.37525075,0.0
-26.32575075,0.0
-26.27635075,0.0
