Energy (eV),DOS_up,DOS_down
-57.2091271,0.0,-0.0
-57.1625271,0.0,-0.0
-57.116027100000004,0.0,-0.0
-57.0694271,0.0,-0.0
-57.022927100000004,0.0,-0.0
-56.9764271,0.0,-0.0
-56.929827100000004,0.0,-0.0
-56.8833271,0.0,-0.0
-56.836727100000004,0.0,-0.0
-56.7902271,0.0,-0.0
-56.7437271,0.0,-0.0
-56.6971271,0.0,-0.0
-56.6506271,0.0,-0.0
-56.6040271,0.0,-0.0
-56.5575271,0.0,-0.0
-56.5110271,0.0,-0.0
-56.4644271,0.0,-0.0
-56.4179271,0.0,-0.0
-56.3713271,0.0,-0.0
-56.3248271,0.0,-0.0
-56.2783271,0.0,-0.0
-56.2317271,0.0,-0.0
-56.1852271,0.0,-0.0
-56.1386271,0.0,-0.0
-56.0921271,0.0,-0.0
-56.045627100000004,0.0,-0.0
-55.9990271,0.0,-0.0
-55.952527100000005,0.0,-0.0
-55.9060271,0.0,-0.0
-55.8594271,0.0,-0.0
-55.8129271,0.0,-0.0
-55.7663271,0.0,-0.0
-55.7198271,0.0,-0.0
-55.6733271,0.0,-0.0
-55.626727100000004,0.0,-0.0
-55.5802271,0.0,-0.0
-55.533627100000004,0.0,-0.0
-55.4871271,0.0,-0.0
-55.4406271,0.0,-0.0
-55.3940271,0.0,-0.0
-55.3475271,0.0,-0.0
-55.3009271,0.0,-0.0
-55.2544271,0.0,-0.0
-55.2079271,0.0,-0.0
-55.1613271,0.0,-0.0
-55.1148271,0.0,-0.0
-55.0682271,0.0,-0.0
-55.0217271,0.0,-0.0
-54.9752271,0.0,-0.0
-54.9286271,0.0,-0.0
-54.8821271,0.0,-0.0
-54.8355271,0.0,-0.0
-54.7890271,0.0,-0.0
-54.742527100000004,0.0,-0.0
-54.6959271,0.0,-0.0
-54.649427100000004,0.0,-0.0
-54.6028271,0.0,-0.0
-54.556327100000004,0.0,-0.0
-54.5098271,0.0,-0.0
-54.463227100000005,0.0,-0.0
-54.4167271,0.0,-0.0
-54.370127100000005,0.0,-0.0
-54.3236271,0.0,-0.0
-54.2771271,0.0,-0.0
-54.2305271,0.0,-0.0
-54.1840271,0.0,-0.0
-54.137427100000004,0.0,-0.0
-54.0909271,0.0,-0.0
-54.0444271,0.0,-0.0
-53.9978271,0.0,-0.0
-53.9513271,0.0,-0.0
-53.9047271,0.0,-0.0
-53.8582271,0.0,-0.0
-53.8117271,0.0,-0.0
-53.7651271,0.0,-0.0
-53.7186271,0.0,-0.0
-53.6720271,0.0,-0.0
-53.6255271,0.0,-0.0
-53.579027100000005,0.0,-0.0
-53.5324271,0.0,-0.0
-53.4859271,0.0,-0.0
-53.4393271,0.0,-0.0
-53.3928271,0.0,-0.0
-53.3463271,0.0,-0.0
-53.2997271,0.0,-0.0
-53.253227100000004,0.0,-0.0
-53.2066271,0.0,-0.0
-53.160127100000004,0.0,-0.0
-53.1136271,0.0,-0.0
-53.067027100000004,0.0,-0.0
-53.0205271,0.0,-0.0
-52.973927100000004,0.0,-0.0
-52.9274271,0.0,-0.0
-52.8809271,0.0,-0.0
-52.8343271,0.0,-0.0
-52.7878271,0.0,-0.0
-52.7412271,0.0,-0.0
-52.6947271,0.0,-0.0
-52.6482271,0.0,-0.0
-52.6016271,0.0,-0.0
-52.5551271,0.0,-0.0
-52.5085271,0.0,-0.0
-52.4620271,0.0,-0.0
-52.4155271,0.0,-0.0
-52.3689271,0.0,-0.0
-52.3224271,0.0,-0.0
-52.2758271,0.0,-0.0
-52.2293271,0.0,-0.0
-52.182827100000004,0.0,-0.0
-52.1362271,0.0,-0.0
-52.089727100000005,0.0,-0.0
-52.0431271,0.0,-0.0
-51.9966271,0.0,-0.0
-51.9501271,0.0,-0.0
-51.9035271,0.0,-0.0
-51.8570271,0.0,-0.0
-51.8104271,0.0,-0.0
-51.763927100000004,0.0,-0.0
-51.7174271,0.0,-0.0
-51.670827100000004,0.0,-0.0
-51.6243271,0.0,-0.0
-51.577727100000004,0.0,-0.0
-51.5312271,0.0,-0.0
-51.4847271,0.0,-0.0
-51.4381271,0.0,-0.0
-51.3916271,0.0,-0.0
-51.3450271,0.0,-0.0
-51.2985271,0.0,-0.0
-51.2520271,0.0,-0.0
-51.2054271,0.0,-0.0
-51.1589271,0.0,-0.0
-51.1123271,0.0,-0.0
-51.0658271,0.0,-0.0
-51.0193271,0.0,-0.0
-50.9727271,0.0,-0.0
-50.9262271,0.0,-0.0
-50.8796271,0.0,-0.0
-50.8331271,0.0,-0.0
-50.786627100000004,0.0,-0.0
